Last Updated,Preferred Lender,Lender,Product Type,Product Security,Product Name,Min Loan,Max Loan,Min Term,Max Term,Monthly Interest From,Monthly Interest To,Factor Rate,Fees,Commission,Min Trading Months,Min Monthly Turnover,Debt Consolidation Option?,StartUp Option?,Existing Lending Required,PG Required,Homeowner Required,Other Security,Key Underwriting Criteria,Adverse Credit,Product USP,Submission
,No,Barclays,Term Loan,Secured,,"£100,001","£3,000,000",12,300,,,,,,0,£0,,,No,Case-by-case,Yes,,"Owners, partners and directors must be 18 or over and able to prove 12 months UK residency; Business Current Account required with Barclays UK or another provider; maximum annual turnover £6,5m unless agricultural sector",severely credit impaired customers not supported,Fixed and variable rates available; secured route may support lower pricing; capital repayment holidays may be available,
,No,Barclays,Term Loan,Secured,,"£25,001",£0,12,300,,,,,,0,£0,,,No,Case-by-case,Yes,Legal charge over trading premises,"Commercial Mortgage; UK-domiciled business required; maximum annual turnover £6,5m unless agricultural sector; owners, partners and directors must be 18 or over and able to prove 12 months UK residency; Business Current Account required",severely credit impaired customers not supported,Fixed and variable rates available; capital repayment holidays may be available; flexible repayment profiles available,
,No,Barclays,Term Loan,Secured,,"£25,001",£0,12,300,,,,,,0,£0,,,No,Case-by-case,Yes,First legal charge over development property,"Property Development Loan; property development businesses only; new residential or commercial developments only; customer must provide cash deposit of at least 40% of overall development costs; build must not already be underway; owners, partners and directors must be 18 or over and able to prove 12 months UK residency",,Staged drawdown available; flexible repayment profiles including bullet or balloon repayments; capital repayment holidays may be available,
,No,Barclays,Term Loan,Secured,,"£25,001",£0,12,300,,,,,,0,£0,,,No,Case-by-case,Yes,"First legal charge over land, maximum 60% LTV","Property Investment Loan; real estate sector businesses only; portfolio must include 4 or more residential or commercial buy-to-let properties; properties must be UK based; Business Current Account required; owners, partners and directors must be 18 or over and able to prove 12 months UK residency",severely credit impaired customers not supported,Interest-only period up to 15 years may be available; capital repayment holidays may be available; non-monthly repayment frequencies may be available,
,No,Bibby ,Asset Finance,Secured,,"£5,000","£500,000",24,60,,,,,,36,£0,,,No,Case-by-case,No,"Balance-sheet led underwriting, no security in soft assets",Soft asset finance; new assets only; minimum 3 years trading unless supported by group or franchise financials; Tier 1 credit appetite; lend size must be proportional to balance sheet; tenant cases capped at £25k; 90-day sale and leaseback or sale and HP back available on supplier invoice excluding scaffolding; no private sales,"minimal adverse, profitable business and good accounts required","Can fund soft assets including fit outs, racking, shelving and mezzanine flooring; MOT and garage equipment; hair and beauty equipment; commercial kitchen equipment; IT hardware and software; medical and cleaning equipment; shop fitting, EPOS and sunbeds",
,No,Bibby ,Asset Finance,Secured,,"£5,000","£500,000",24,36,,,,,,36,£0,,,No,Yes,No,"Balance-sheet led underwriting, no security in soft assets",Scaffolding finance; new assets only; minimum 3 years trading unless supported by group or franchise financials; invoices not older than 90 days; sale and HP back or leaseback not available on scaffolding; tenant cases capped at £25k,,Specific scaffolding appetite available where invoice; credit profile and structure are acceptable,Broker-led submission
,No,Bibby ,Asset Finance,Secured,,"£10,000","£2,000,000",24,84,,,,,,0,£0,,,No,Case-by-case,No,Asset security over financed asset,"Hard asset finance; new or used assets; in-house credit limit before group approval is £750k; new starts considered with clear business plan and additional security; 84 month terms only for advances over £100k on deal-by-deal basis; VAT deferrals on Cat A considered; short-term sub-hire only up to 90 days; tenant cases require stable voters roll evidence; classic cars, prestige cars, long-term sub-hire, taxis, chauffeur, PCO, wind turbines, biomass and Northern Ireland based businesses excluded",,"Can fund commercial vehicles, HGVs, trailers and business-critical cars; construction equipment, yellow plant and cranes; buses, coaches and minibuses; manufacturing equipment; agricultural and forestry machinery; material handling, access platforms and horseboxes; balloons considered where proportional",Broker-led submission
,No,Bibby ,Asset Finance,Secured,,"£15,000","£2,000,000",24,84,,,,,,0,£0,,,No,Yes,No,Asset security over refinanced asset,Hard asset refinance; clear rationale required for Cat A assets; Scotland can only be structured as sale and leaseback due title rules; original invoices required to confirm title; asset inspection mandatory before payout; tenant cases require stable voters roll evidence,,Refinance route for owned hard assets; HP or minimum term leases available; can release capital where title and asset value are evidenced,Broker-led submission
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Term Loan,"£5,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,4,"£12,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; LTD and LLP & Partnerships; Excluding  Construction and transportation; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; OK with existing loans; OK with HMRC Debt,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Term Loan,"£25,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,12,"£20,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; Sole traders only; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; OK with existing loans; OK with HMRC Debt,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Term Loan,"£5,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,12,"£20,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; LTD and LLP & Partnerships : Including Construction and transportation; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; OK with existing loans; OK with HMRC Debt,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Working Capital Facilty,"£25,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,9,"£20,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; LTD and LLP & Partnerships; Excluding  Construction and transportation; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; ~80% of facility day 1; 100% of facility available after week 2; OK with existing loans; OK with HMRC Debt;,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Working Capital Facilty,"£25,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,12,"£20,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; Sole traders only; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; ~80% of facility day 1; 100% of facility available after week 2; OK with existing loans; OK with HMRC Debt;,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
02/07/2026,Yes,Bizcap,Term Loan,Unsecured,Working Capital Facilty,"£25,000","£1,250,000",3,12,,,1.27 to 1.49,5% drawdown Fee 5%;,up to 10%,12,"£20,000",No,No,No,Yes,No,Debebture (case by cacse); Cross Corporate Guarantee (case by case); Property (case by case),Revenue based lending NOT profit based lending; LTD and LLP & Partnerships : Including Construction and transportation; OB to remain connected,"No minimum credit score; flexible view to defaults, CCJs and debt",Daily or Weekly repayments; ~80% of facility day 1; 100% of facility available after week 2; OK with existing loans; OK with HMRC Debt;,https://applications.bizcap.co.uk/?partnerid=e13077f1-8e0c-4c36-85ce-197da59be64f
14/07/206,Yes,British Business Bank,Term Loan,Unsecured,Start Up Loan,£500,"£25,000",12,60,0.63%,0.63%,,,,0,£0,,Yes,No,No,No,,,,https://www.startuploans.co.uk; Helpline 0344 264 2600; Free application support; free post-loan mentoring; free business document templates and guides,
,Yes,Capify,Term Loan,Unsecured,Term Loan,"£5,000","£250,000",3,6,5.83%,11.67%,,,,3,"£10,000",,,No,Not stated,No,,six months bank statements required,"Low credit, defaults, CCJs and previous insolvency considered; suitable where the client has weaker credit or adverse history",Decision targeted within 3 hours; same-day funding available for deals under £250k,proposals@capify.co.uk
,Yes,Capify,Term Loan,Unsecured,Term Loan,"£10,000","£500,000",7,18,1.11%,2.86%,,,,6,"£10,000",,,No,Not stated,No,,For business owners without property; six months bank statements required,,Decision targeted within 5 hours; same-day funding available for deals under £250k; unsecured funding route for clients without property,proposals@capify.co.uk
,Yes,Capify,Term Loan,Secured,Term Loan,"£50,000","£500,000",7,24,0.50%,1.71%,,,,6,"£10,000",,,No,Not stated,Yes,Business/property security,For business owners with property; six months bank statements required,,Secured funding route; decision targeted within 24 hours; funding typically within 24 to 48 hours; longer terms available up to 24 months,proposals@capify.co.uk
,Yes,Capify,Term Loan,Secured,Term Loan,"£500,000","£3,000,000",6,24,0.58%,2.33%,,,,24,"£416,667",,,No,Not stated,Not stated,Business/property security,Owner-managed businesses with £5m+ annual revenue; six months bank statements required,,Middle-market secured lending; decision targeted within 48 hours; funding typically within 7 to 14 days,proposals@capify.co.uk
03/08/2026,Yes,Credit 4,Revolving Credit Facility,Unsecured,Fexible Funding Facility,"£15,000","£30,000",3,12,2.50%,,,5% arr fee;,5.00%,6,"£100,000",Yes,No,No,Yes,Yes,3 x loan in PG Coverage; PGs,,,,brokers@credit4.co.uk
03/08/2026,Yes,Credit 4,Term Loan,Unsecured,Dual Growth Funding,"£30,000","£150,000",12,36,2.00%,,,5% arr fee;,5.00%,6,"£100,000",Yes,No,No,Yes,Yes,3 x loan in PG Coverage; PGs,,,Hybrid facility combining term loan and interest only funding line,brokers@credit4.co.uk
03/08/2026,Yes,Credit 4,Term Loan,Secured,Secured Business Funding,"£75,000","£250,000",12,60,1.50%,,,5% arr fee;,5.00%,6,"£100,000",Yes,No,No,Yes,Yes,1st or 2nd charger; max c.80% LTV; PGs,80% LTV; First or seond charge only; security property must be personally owned; ,,,brokers@credit4.co.uk
29/07/2026,Yes,Cubefunder,Term Loan,Unsecured,Non-Homeowner,"£5,000","£30,000",3,12,4.00%,,,£395 arr fee upto £15k loan or; 3% arr fee > £15k loan,10.00%,3,"£4,000",Yes,No,No,Yes,No,Debenture (can sit 2nd); ILA; Poss cross corp guarantee,Ltd companies; Eng & Wales only; English speaking; Customer visit req'd; funding 48 hours,Mid adverse ok,Daily or weekly repayments; Early settlement after 50% of loan term,Cubefunder | Broker-Portal
29/07/2026,Yes,Cubefunder,Term Loan,Unsecured,Homeowner,"£10,000","£100,000",3,18,3.75%,,,£395 arr fee upto £15k loan or; 3% arr fee > £15k loan,10.00%,3,"£10,000",Yes,No,No,Yes,Yes,Debenture (can sit 2nd); Property restrisction; ILA; Poss cross corp guarantee,Ltd companies; Eng & Wales only; English speaking; Customer visit req'd; funding 48 hours,Mid adverse ok,Daily or weekly repayments; Early settlement after 50% of loan term,Cubefunder | Broker-Portal
29/07/2026,Yes,Cubefunder,Term Loan,Unsecured,Homeowner,"£15,000","£100,000",18,24,3.50%,,,£395 arr fee upto £15k loan or; 3% arr fee > £15k loan,10.00%,3,"£10,000",Yes,No,No,Yes,Yes,Debenture (can sit 2nd); Property restrisction; ILA; Poss cross corp guarantee,Ltd companies; Eng & Wales only; English speaking; Customer visit req'd; funding 48 hours,Mid adverse ok,Daily or weekly repayments; Early settlement after 50% of loan term,Cubefunder | Broker-Portal
,No,Elect Capital,Term Loan,Unsecured,,"£5,000","£1,000,000",0,8,4.38%,,"FR 1,35 to 1,5",,,12,"£25,000",,,No,Yes,No,Debenture required for offers over £75k,Minimum £25k monthly revenue with lending repayment history; minimum £600 daily balance; clear commercial loan purpose required; directors must back the deal; refinancing available after 45% of the loan is repaid; early settlement discount 10% after 30 days or 5% after 60 days,older credit blips accepted where not recent or dishonest,"Short-term funding with daily or weekly repayments; terms targeted within 4 hours; funding targeted within 24 hours; flexible structures for cash flow, expansion or business opportunities",brokers@electcapital.com
,No,First Enterprise,Term Loan,Unsecured,,"£25,001","£150,000",0,60,1.40%,1.40%,,3.5% arr fee,,6,£0,,,No,Yes,No,Debenture where necessary,"Midlands Engine Investment Fund; funds can be used for asset purchase, working capital, marketing, staff salaries and MBOs; refinancing existing debt not accepted; relationship-led appraisal with flexible criteria",,No early repayment or overpayment penalties; lender aims to provide appetite and outline terms within 48 hours where possible,saddo@first-enterprise.co.uk
,No,First Enterprise,Term Loan,Unsecured,Term Loan,"£25,001","£250,000",0,60,1.40%,1.40%,,3.5% arr fee,,6,£0,,,No,Yes,No,Debenture where necessary,"Growth Guarantee Scheme; funds can be used for asset purchase, working capital, marketing, staff salaries and MBOs; refinancing existing debt accepted; relationship-led appraisal with flexible criteria",,No early repayment or overpayment penalties; lender aims to provide appetite and outline terms within 48 hours where possible,saddo@first-enterprise.co.uk
,Yes,Fleximize,Term Loan,Unsecured,Term Loan,"£10,000","£250,000",12,60,0.90%,2.90%,,,,12,£0,,,No,Yes,Yes,,Loan amount must not exceed 2x monthly revenue,,No early repayment charges; interest charged only for the period the loan is active; monthly repayments,https://partners.fleximize.com/login
,Yes,Fleximize,Term Loan,Unsecured,Term Loan,"£10,000","£500,000",3,12,1.90%,3.90%,,,,6,£0,,,No,Yes,Yes,,Loan amount must not exceed 2x monthly revenue,,No early repayment charges; interest charged only for the period the loan is active; monthly repayments,https://partners.fleximize.com/login
,Yes,Fleximize,Term Loan,Secured,Term Loan,"£10,000","£500,000",12,60,0.90%,2.90%,,,,12,£0,,,No,Yes,Yes,Equitable charge over property,Loan amount must not exceed 2x monthly revenue,,No early repayment charges; interest charged only for the period the loan is active; monthly repayments,https://partners.fleximize.com/login
,Yes,Fleximize,Term Loan,Secured,Term Loan,"£10,000","£500,000",3,12,1.90%,3.90%,,,,6,£0,,,No,Yes,Yes,Equitable charge over property,Loan amount must not exceed 2x monthly revenue,,No early repayment charges; interest charged only for the period the loan is active; monthly repayments,https://partners.fleximize.com/login
,No,Funding Alternative,Invoice Finance,Unsecured,,"£10,000","£300,000",0,0,,,,Prepayment fee typically 3% to 3.95% for first 3 weeks of funding,,0,£0,,,No,Yes,Case-by-case,Valid assignment of invoices; debenture charge may be required,Pricing is not monthly interest; weekly discount fee of 0.75% to 1.5% of invoice value after initial 3 weeks charged per week or part week; strong audit trail required,,Selective invoice finance; client can pick specific invoices without selling whole debtor book; advance rate up to 90% of invoice value depending on invoice size and debtor creditworthiness; no contractual tie-in; can fund high concentrations including single debtor ledgers; supports export funding and new starts; can consider clients declined elsewhere where trade and invoice process are understood,applications@fundingalternative.co.uk
,No,Funding Alternative,Merchant Cash Advance,Unsecured,,"£5,000","£250,000",3,9,,,FR from 1.35,2.5% arr fee,,6,"£5,000",,,No,Yes,No,Debenture may be required in exceptional circumstances,Pricing is not monthly interest; min monthly turnover field refers to card sales; clear use of funds required; Open Banking access required to all trading accounts,,Pricing is not monthly interest; min monthly turnover field refers to card sales; clear use of funds required; Open Banking access required to all trading accounts,applications@fundingalternative.co.uk
,No,Funding Alternative,Term Loan,Unsecured,,"£10,000","£250,000",0,9,,,FR from 1.2 to 1.6,2.5% arr fee,,6,£0,,,No,Yes,No,Debenture may be required in exceptional circumstances,Pricing is not monthly interest; limited companies only; clear use of funds required; Open Banking access required to all business related bank accounts,,Pre-approval typically within 24 hours; fixed daily or weekly repayments available; variable repayments based on business cash receipts available; early repayment discount factor available on full repayment before maturity,applications@fundingalternative.co.uk
,Yes,Funding Circle,Revolving Credit Facility,Unsecured,Revolving Credit Facility,£100,"£250,000",1,12,,,,,,12,£0,,,No,Yes,No,Debenture may be offered if required, repayment over 1or 3 or 6 or 9 or 12 instalments; 0% interest with a dynamic fee per transaction; no minimum card spend; cannot apply through broker portal where client has active Funding Circle debt,,"Pay suppliers by card, cash transfer or direct to business bank account; credit refreshes as balances are repaid",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£100,000",24,72,0.58%,1.81%,,,,12,£0,,,No,Yes,No,Debenture may be offered instead of PG,Core Business Loan; no previous Funding Circle borrowing; latest full accounts may be required; max lend subject to gross turnover cap and total Funding Circle exposure including related businesses,non-homeowner cap is normally £50k but can be up to £100k depending on risk band,Instant decision route may be available; no early settlement or overpayment fees; funds typically within 48 hours,https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£750,000",24,72,0.58%,1.81%,,,,12,£0,,,No,Yes,Yes,Debenture may be offered instead of PG,Core Business Loan; affordability; turnover cap and total Funding Circle exposure including related businesses,maximum lend subject to risk band; risk band turnover caps range from 30% to 60% of gross annual turnover,Higher loan availability versus non-homeowner route,https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£100,000",6,24,2.00%,5.80%,,,,12,£0,,,No,Yes,No,Debenture may be offered instead of PG,Short Term Loan; fixed terms of 6 or 12 or 24 months only; available to new or existing Funding Circle customers; 1 year filed accounts required,non-homeowner cap is normally £50k but can be up to £100k depending on risk band,"Short-term funding for cash flow, bills, invoices or opportunities; interest charged daily",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£250,000",6,24,2.00%,5.80%,,,,12,£0,,,No,Yes,Yes,Debenture may be offered instead of PG,Short Term Loan; fixed terms of 6 or 12 or 24 months only; available to new or existing Funding Circle customers; 1 year filed accounts required,,"No Funding Circle completion fee on 6 and 12 month loans; short-term funding for cash flow, bills, invoices or opportunities",https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£50,000",24,72,1.12%,,,,,12,£0,,,No,Yes,No,,Growth Guarantee Scheme; non-homeowner cap set at £50k unless Funding Circle confirms higher; lending up to 60% of gross annual turnover,,Government-backed scheme route; useful where standard commercial terms may not be available,https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
,Yes,Funding Circle,Term Loan,Unsecured,Term Loan,"£10,000","£250,000",24,72,1.12%,,,,,12,£0,,,No,Yes,Yes,,Growth Guarantee Scheme; lending up to 60% of gross annual turnover,,Government-backed scheme route; higher loan availability versus non-homeowner GGS route,https://www.fundingcircle.com/uk/auth/login?client_id=5c4a9jl1iar89wigrejkt17j51iwdrt&redirect_uri=https%3A%2F%2Fwww.fundingcircle.com%2Fauth%2Ffunding_circle_oauth2%2Fcallback&response_type=code&state=874eb3addffc8d914f2ebe444839d3287cc130fcd05b7448
